HighSchool Year	ACT Score
Senior	25
Junior	23
Senior	24
Senior	27
Junior	28
Senior	23
Freshman	26
Senior	25
Junior	23
Junior	23
Senior	21
Senior	25
Junior	23
Sophomore	25
Senior	22
Freshman	27
Senior	26
Senior	30
Senior	22
Senior	22
Senior	32
Junior	21
Sophomore	22
Junior	30
Senior	26
Junior	24
Junior	24
Sophomore	33
Junior	25
Senior	20
Junior	21
Senior	27
Junior	28
Sophomore	28
Junior	28
Freshman	29
Senior	22
Sophomore	22
Sophomore	23
Freshman	31
Junior	18
Junior	32
Sophomore	25
Senior	22
Freshman	19
Junior	22
Sophomore	36
Junior	23
Freshman	29
Junior	25
Sophomore	22
Senior	25
Junior	26
Junior	26
Senior	19
Junior	20
Junior	29
Junior	24
Senior	23
Freshman	21
Freshman	20
Sophomore	27
Senior	24
Junior	24
Sophomore	28
Senior	19
Sophomore	21
Senior	25
Senior	33
Senior	35
Senior	31
Freshman	26
Sophomore	25
Senior	26
Junior	21
Junior	23
Senior	25
Junior	24
Junior	20
Sophomore	31
Sophomore	25
Senior	25
Sophomore	21
Junior	27
Sophomore	23
Senior	28
Junior	22
Senior	27
Sophomore	18
Freshman	21
Junior	25
Junior	21
Sophomore	19
Senior	19
Junior	18
Sophomore	33
Sophomore	25
Senior	21
Freshman	22
Junior	26
Junior	23
Senior	22
Sophomore	29
Senior	29
Junior	26
Sophomore	21
Sophomore	24
Senior	20
Freshman	21
Sophomore	22
Senior	35
Junior	24
Sophomore	21
Junior	24
Freshman	24
Junior	21
Senior	33
Sophomore	33
Freshman	20
Senior	23
Sophomore	32
Senior	21
Senior	23
Senior	31
Senior	26
Junior	24
Senior	21
Sophomore	22
Junior	21
Junior	20
Junior	22
Sophomore	23
Senior	28
Junior	28
Junior	27
Sophomore	26
Senior	24
Sophomore	23
Junior	35
Senior	29
Junior	24
Junior	24
Junior	23
Senior	27
Freshman	28
Senior	31
Senior	26
Senior	28
Senior	18
Sophomore	31
Junior	31
Junior	28
Sophomore	18
Sophomore	19
Junior	21
Senior	24
Freshman	29
Sophomore	18
Junior	21
Junior	30
Junior	21
Junior	21
Junior	22
Junior	27
Senior	29
Junior	24
Senior	22
Senior	29
Junior	18
Sophomore	22
Senior	20
Senior	23
Senior	26
Senior	28
Sophomore	27
Junior	36
Senior	25
Junior	25
Sophomore	26
Freshman	21
Junior	25
Sophomore	26
Junior	27
Senior	21
Junior	19
Sophomore	23
Senior	26
Senior	25
Sophomore	21
Senior	23
Junior	30
Senior	31
Junior	25
Senior	32
Senior	32
Junior	31
Junior	28
Sophomore	26
Junior	23
Junior	25
Junior	27
Senior	23
Senior	21
Sophomore	25
Freshman	19
Senior	24
Sophomore	22
Senior	25
Senior	27
Senior	25
Junior	27
Sophomore	25
Junior	24
Sophomore	24
Senior	24
Junior	23
Senior	33
Junior	18
Sophomore	25
Freshman	22
Junior	23
Junior	23
Junior	23
Senior	24
Junior	28
Senior	21
Senior	22
Junior	23
Senior	27
Junior	26
Junior	25
Junior	19
Junior	22
Freshman	22
Senior	19
Junior	25
Senior	22
Junior	22
Junior	34
Junior	28
Senior	25
Junior	26
Sophomore	22
Senior	33
Junior	26
Senior	21
Sophomore	21
Junior	26
Junior	26
Junior	25
Freshman	18
Junior	25
Junior	22
Sophomore	25
Junior	21
Junior	29
Sophomore	26
Sophomore	27
Junior	23
Junior	23
Junior	24
Junior	20
Junior	25
Senior	22
Senior	31
Sophomore	25
Junior	19
Sophomore	20
Sophomore	24
Senior	23
Junior	25
Senior	30
Senior	18
Sophomore	28
Senior	22
Senior	35
Senior	23
Senior	19
Senior	25
Sophomore	22
Junior	33
Junior	26
Junior	28
Sophomore	24
Freshman	25
Junior	30
Freshman	23
Sophomore	35
Senior	22
Sophomore	22
Junior	20
Junior	26
Junior	29
Senior	24
Junior	28
Senior	29
Sophomore	23
Junior	22
Freshman	36
Senior	31
Senior	24
Junior	27
Sophomore	23
Sophomore	23
Senior	24
Junior	22
Senior	30
Senior	23
Senior	26
Junior	25
Senior	28
Sophomore	36
Freshman	19
Senior	25
Junior	27
Freshman	26
Freshman	21
Senior	20
Senior	21
Freshman	24
Senior	21
Junior	22
Freshman	22
Junior	23
Senior	22
Sophomore	24
Senior	21
Senior	31
Junior	20
Junior	24
Senior	24
Junior	27
Junior	31
Sophomore	33
Senior	25
Freshman	22
Junior	27
Junior	23
Junior	22
Junior	28
Sophomore	21
Sophomore	33
Junior	24
Senior	30
Senior	34
Junior	30
Senior	23
Junior	19
Junior	26
Junior	28
Senior	29
Senior	26
Sophomore	21
Sophomore	24
Junior	25
Freshman	22
Junior	33
Junior	28
Sophomore	24
Junior	23
Senior	21
Junior	23
Freshman	31
Junior	24
Sophomore	19
Senior	22
Senior	20
Sophomore	25
Junior	30
Junior	21
Freshman	23
Freshman	24
Junior	26
Junior	26
Sophomore	27
Sophomore	22
Junior	25
Senior	26
Junior	28
Junior	30
Junior	22
Junior	22
Freshman	29
Junior	22
Junior	25
Junior	23
Sophomore	23
Senior	35
Senior	22
Freshman	32
Junior	26
Junior	23
Senior	30
Junior	29
Senior	26
Senior	27
Senior	18
Junior	21
Senior	18
Junior	22
Senior	29
Junior	28
Senior	22
Senior	28
Junior	22
Junior	34
Junior	24
Junior	22
Freshman	20
Senior	25
Senior	24
Freshman	20
Junior	25
Senior	34
Senior	22
Senior	23
Junior	25
Sophomore	26
Freshman	21
Sophomore	22
Senior	23
Junior	34
Senior	28
Freshman	20
Freshman	23
Junior	25
Junior	22
Sophomore	22
Junior	24
Sophomore	29
Freshman	23
Sophomore	22
Sophomore	28
Junior	25
Senior	33
Sophomore	25
Senior	29
Junior	22
Freshman	31
Freshman	23
Junior	23
Junior	24
Junior	19
Sophomore	31
Sophomore	22
Senior	24
Junior	27
Junior	23
Senior	29
Sophomore	24
Junior	22
Senior	18
Junior	24
Junior	24
Freshman	28
Sophomore	23
Senior	24
Junior	29
Freshman	18
Senior	22
Senior	22
Freshman	22
Junior	28
Senior	29
Junior	28
Freshman	22
Junior	23
Junior	27
Junior	25
Junior	22
Senior	25
Junior	25
Senior	27
Junior	22
Sophomore	20
Junior	29
Junior	23
Junior	20
Senior	28
Junior	23
Senior	21
Sophomore	21
Senior	26
Senior	22
Sophomore	19
Senior	27
Freshman	23
Sophomore	19
Junior	28
Senior	20
Junior	34
Sophomore	28
Senior	31
Sophomore	21
Junior	27
Junior	23
Sophomore	32
Senior	23
Junior	25
Sophomore	25
Senior	22
Senior	26
Junior	22
Freshman	20
Junior	23
Junior	32
Junior	20
Junior	25
Sophomore	22
Freshman	21
Senior	30
Sophomore	23
Senior	21
Senior	28
Junior	26
Senior	26
Junior	22
Sophomore	24
Senior	25
Junior	28
Junior	24
Sophomore	27
Junior	21
Sophomore	28
Junior	25
Senior	33
Junior	22
Junior	25
Junior	22
Sophomore	22
Junior	22
Senior	22
Freshman	23
Junior	21
Junior	24
Sophomore	20
Senior	25
Junior	30
Junior	28
Junior	21
Senior	23
Junior	25
Junior	36
Freshman	25
Sophomore	25
Senior	26
Sophomore	21
Sophomore	29
Freshman	19
Junior	22
Junior	22
Junior	23
Senior	33
Senior	30
Junior	21
Junior	24
Sophomore	22
Sophomore	21
Junior	32
Sophomore	28
Junior	24
Senior	24
Junior	22
Freshman	23
Freshman	33
Junior	27
Junior	27
Senior	21
Junior	18
Freshman	22
Sophomore	20
Junior	23
Junior	21
Freshman	25
Junior	33
Freshman	22
Junior	22
Junior	28
Junior	26
Sophomore	25
Junior	23
Junior	26
Senior	21
Sophomore	21
Junior	31
Sophomore	20
Senior	25
Senior	24
Senior	31
Senior	25
Junior	25
Senior	21
Freshman	29
Junior	22
Senior	23
Senior	23
Junior	23
Senior	26
Freshman	25
Junior	22
Junior	22
Senior	27
Freshman	30
Sophomore	19
Senior	26
Junior	20
Freshman	22
Junior	26
Junior	33
Senior	24
Junior	24
Junior	31
Sophomore	26
Sophomore	34
Freshman	22
Freshman	24
Senior	30
Junior	22
Sophomore	24
Sophomore	23
Sophomore	27
Sophomore	32
Junior	21
Junior	23
Junior	25
Freshman	27
Junior	29
Junior	31
Senior	18
Senior	25
Junior	26
Junior	20
Junior	21
Junior	24
Senior	26
Junior	32
Junior	23
Junior	25
Junior	22
Sophomore	28
Senior	31
Senior	18
Senior	33
Junior	20
Senior	24
Sophomore	27
Freshman	26
Senior	27
Junior	31
Freshman	23
Junior	25
Senior	24
Junior	25
Senior	28
Junior	23
Junior	21
Junior	23
Freshman	23
Senior	26
Freshman	25
Sophomore	30
Sophomore	19
Junior	24
Junior	25
Sophomore	33
Junior	30
Junior	27
Junior	18
Senior	21
Junior	21
Junior	22
Junior	25
Senior	20
Sophomore	27
Junior	20
Junior	24
Senior	28
Sophomore	28
Senior	21
Freshman	23
Senior	23
Senior	24
Junior	24
Sophomore	22
Junior	23
Junior	23
Senior	25
Junior	21
Senior	30
Junior	27
Junior	28
Junior	24
Sophomore	26
Junior	29
Junior	27
Junior	26
Junior	24
Senior	27
Junior	25
Junior	22
Sophomore	25
Junior	26
Senior	21
Junior	22
Senior	21
Junior	21
Sophomore	26
Sophomore	23
Sophomore	20
Senior	26
Senior	20
Sophomore	27
Senior	29
Senior	26
Senior	33
Junior	29
Junior	23
Junior	18
Senior	23
Junior	24
Junior	34
Freshman	20
Senior	31
Junior	25
Senior	28
Sophomore	28
Junior	20
Junior	25
Junior	27
Junior	22
Junior	23
Sophomore	25
Senior	29
Junior	28
Junior	21
Junior	27
Junior	27
Junior	24
Junior	23
Senior	23
Senior	25
Senior	32
Sophomore	24
Sophomore	32
Junior	31
Sophomore	22
Junior	23
Senior	23
Senior	22
Senior	20
Junior	32
Junior	28
Junior	25
Junior	31
Freshman	23
Sophomore	36
Senior	24
Junior	22
Junior	26
Junior	23
Junior	27
Senior	24
Junior	24
Freshman	22
Freshman	22
Senior	24
Senior	19
Junior	35
Senior	20
Sophomore	23
Junior	26
Junior	30
Junior	36
Sophomore	23
Junior	26
Freshman	21
Freshman	21
Sophomore	21
Sophomore	21
Junior	24
Junior	21
Junior	24
Junior	25
Sophomore	23
Junior	27
Senior	28
Senior	27
Junior	20
Junior	28
Sophomore	25
Sophomore	23
Junior	23
Senior	28
Senior	22
Junior	25
Junior	27
Junior	28
Junior	21
Junior	18
Sophomore	28
Senior	29
Junior	24
Freshman	20
Junior	21
Freshman	20
Junior	23
Junior	25
Freshman	29
Senior	26
Junior	26
Junior	20
Senior	25
Sophomore	24
Sophomore	27
Junior	21
Senior	20
Freshman	24
Junior	21
Freshman	22
Freshman	24
Junior	20
Senior	27
Junior	21
Freshman	23
Senior	24
Junior	24
Senior	29
Junior	23
Freshman	28
Junior	30
Senior	21
Senior	23
Junior	23
Senior	23
Sophomore	21
Sophomore	35
Senior	25
Junior	21
Junior	26
Sophomore	24
Junior	30
Senior	24
Sophomore	24
Senior	23
Junior	29
Sophomore	21
Senior	26
Junior	23
Senior	23
Junior	26
Freshman	29
Junior	26
Senior	20
Senior	26
Junior	26
Junior	21
Senior	25
Junior	23
Junior	21
Junior	33
Junior	24
Senior	26
Sophomore	25
Freshman	24
Junior	23
Freshman	31
Senior	19
Senior	23
Junior	25
Sophomore	21
Senior	33
Junior	23
Sophomore	27
Junior	29
Junior	24
Senior	33
Junior	25
Freshman	23
Senior	26
Junior	24
Junior	27
Senior	24
Sophomore	21
Sophomore	31
Junior	21
Junior	21
Junior	21
Sophomore	28
Senior	20
Senior	25
Freshman	35
Senior	23
Sophomore	24
Senior	22
Senior	28
Senior	22
Junior	27
Junior	26
Sophomore	22
Junior	26
Junior	29
Senior	27
Junior	29
Senior	33
Senior	22
Junior	22
Senior	24
Sophomore	22
Junior	21
Sophomore	29
Sophomore	24
Senior	22
Junior	26
Sophomore	21
Junior	24
Junior	20
Junior	33
Junior	22
Junior	22
Junior	28
Senior	22
Sophomore	25
Junior	23
Junior	31
Junior	25
Freshman	23
Senior	30
Sophomore	26
Senior	25
Sophomore	22
Junior	34
Sophomore	25
Sophomore	25
Senior	26
Junior	27
Freshman	26
Junior	30
Junior	28
Sophomore	30
Senior	28
Senior	22
Junior	22
Senior	24
Junior	31
Sophomore	22
Freshman	21
Freshman	21
Junior	23
Junior	25
Senior	29
Senior	20
Senior	24
Sophomore	20
Sophomore	36
Sophomore	26
Freshman	30
Junior	26
Freshman	32
Sophomore	23
Junior	25
Sophomore	24
Freshman	36
Junior	30
Sophomore	18
Junior	22
Sophomore	27
Senior	26
Senior	21
Sophomore	21
Senior	22
Sophomore	28
Junior	18
Senior	21
Junior	34
Senior	21
Senior	31
Freshman	20
Sophomore	26
Junior	27
Junior	20
Freshman	21
Senior	23
Junior	22
Junior	22
Sophomore	21
Sophomore	24
Junior	24
Junior	34
Junior	24
Junior	30
Junior	22
Junior	31
Sophomore	36
Sophomore	21
Senior	23
Junior	25
Junior	22
Junior	35
Sophomore	19
Sophomore	27
Junior	26
Senior	26
Junior	28
Junior	21
Senior	27
Freshman	22
Freshman	18
Junior	32
Junior	24
Sophomore	27
Senior	24
Senior	21
Sophomore	22
Senior	27
Junior	26
Junior	21
Junior	26
Sophomore	29
Senior	24
Junior	23
Senior	21
Junior	22
Junior	22
Sophomore	24
Freshman	23
Junior	26
Junior	21
Sophomore	20
Sophomore	35
Junior	30
Junior	22
Junior	21
Junior	26
Senior	27
Junior	20
Junior	23
Freshman	25
Senior	22
Freshman	23
Sophomore	21
Senior	24
Junior	20
Junior	22
Senior	30
Junior	21
Senior	31
Junior	20
Sophomore	35
Junior	25
Junior	21
Junior	26
Sophomore	22
Sophomore	30
Junior	32
Junior	23
Sophomore	28
Junior	23
Senior	20
Junior	21
Freshman	28
Junior	28
Junior	20
Senior	34
Sophomore	24
Junior	27
Sophomore	24
Junior	30
Junior	31
Senior	20
Junior	27
Senior	26
Sophomore	21
Junior	21
Junior	23
Junior	25
Sophomore	25
Junior	24
Junior	23
Junior	25
Junior	18
Senior	21
Freshman	29
Senior	22
Sophomore	22
Sophomore	24
Junior	23
Junior	27
Senior	21
Junior	29
Sophomore	31
Senior	36
Sophomore	23
Sophomore	22
Senior	26
Senior	33
Senior	28
Junior	24
Junior	22
Junior	26
Senior	23
Junior	24
Junior	23
Sophomore	28
Senior	27
Sophomore	21
Senior	18
Junior	22
Freshman	22
Junior	34
Junior	28
Senior	25
Senior	20
Sophomore	21
Junior	25
Junior	25
Junior	18
Junior	22
Sophomore	29
Junior	24
Junior	34
Junior	21
Junior	23
Junior	24
Senior	21
Freshman	30
Sophomore	24
Senior	30
Senior	23
Freshman	26
Sophomore	30
Senior	27
Junior	27
Junior	25
Junior	30
Junior	23
Senior	27
Sophomore	35
Junior	23
Sophomore	26
Sophomore	23
Senior	23
Junior	21
Junior	36
Junior	23
Junior	27
Junior	23
Senior	20
Senior	26
Senior	26
Senior	25
Senior	22
Senior	25
Junior	21
Junior	31
Senior	22
Senior	25
Junior	27
Senior	23
Freshman	23
Senior	23
Sophomore	28
Junior	24
Senior	21
Senior	23
Senior	30
Junior	22
Freshman	23
Junior	26
Junior	22
Freshman	24
Senior	25
Junior	23
Senior	33
Senior	23
Freshman	22
Senior	22
Senior	29
Junior	27
Senior	23
Junior	31
Senior	21
Junior	21
Senior	29
Junior	21
Sophomore	27
Freshman	21
Senior	35
Sophomore	29
Sophomore	27
Junior	31
Junior	20
Sophomore	23
Senior	23
Junior	23
Junior	27
Junior	21
Sophomore	23
Junior	23
Junior	22
Junior	21
Sophomore	20
Freshman	26
Sophomore	25
Senior	27
Junior	23
Senior	24
Junior	27
Senior	32
Sophomore	30
Freshman	24
Senior	20
Senior	22
Junior	29
Senior	28
Junior	25
Freshman	31
Senior	25
Freshman	20
Junior	27
Junior	23
Senior	21
Freshman	25
Junior	22
Junior	22
Junior	28
Junior	19
Junior	31
Sophomore	29
Senior	25
Junior	23
Sophomore	23
Sophomore	20
Junior	23
Junior	24
Junior	19
Junior	27
Senior	27
Sophomore	25
Senior	18
Senior	29
Junior	29
Sophomore	23
Sophomore	32
Sophomore	27
Junior	26
Junior	22
Freshman	29
Junior	25
Junior	22
Senior	28
Freshman	28
Senior	31
Senior	36
Junior	22
Senior	32
Senior	32
Senior	33
Junior	32
Freshman	31
Junior	29
Junior	21
Junior	24
Junior	30
Senior	26
Sophomore	20
Senior	23
Freshman	22
Senior	25
Senior	31
Junior	23
Senior	34
Senior	26
Freshman	22
Sophomore	28
Sophomore	26
Senior	24
Junior	25
Senior	23
Senior	25
Senior	21
Junior	28
Sophomore	19
Junior	24
Junior	22
Junior	25
Senior	23
Sophomore	24
Junior	23
Junior	25
Junior	19
Junior	21
Junior	22
Senior	18
Freshman	25
Senior	22
Junior	21
Junior	23
Senior	26
Senior	27
Junior	24
Senior	33
Senior	26
Freshman	33
Senior	19
Junior	33
Junior	33
Senior	22
Junior	30
Senior	22
Junior	21
Senior	19
Junior	28
Junior	28
Junior	20
Junior	26
Junior	21
Senior	23
Senior	26
Senior	20
Senior	20
Sophomore	22
Junior	22
Junior	26
Senior	27
Junior	22
Senior	30
Junior	19
Senior	20
Freshman	24
Junior	27
Junior	25
Sophomore	27
Senior	31
Junior	29
Senior	18
Junior	20
Sophomore	22
Senior	21
Junior	28
Junior	22
Sophomore	25
Senior	22
Senior	33
Senior	27
Senior	26
Junior	24
Junior	28
Junior	23
Junior	29
Senior	26
Sophomore	32
Freshman	22
Sophomore	25
Freshman	27
Freshman	22
Senior	23
Senior	29
Junior	32
Senior	25
Sophomore	31
Senior	20
Junior	28
Sophomore	21
Sophomore	21
Junior	20
Junior	22
Senior	21
Senior	19
Senior	18
Junior	28
Senior	26
Sophomore	27
Senior	24
Senior	29
Sophomore	29
Senior	25
Junior	25
Junior	21
Junior	23
Senior	36
Senior	22
Senior	30
Junior	24
Freshman	22
Senior	35
Junior	20
Senior	25
Junior	23
Freshman	24
Junior	22
Freshman	24
Sophomore	27
Junior	26
Sophomore	19
Sophomore	24
Junior	25
Freshman	22
Junior	22
Junior	26
Sophomore	21
Senior	19
Junior	22
Senior	20
Freshman	26
Freshman	23
Senior	29
Sophomore	31
Junior	23
Junior	24
Junior	21
Senior	34
Senior	23
Junior	24
Senior	25
Junior	27
Senior	25
Junior	21
Sophomore	22
Senior	24
Sophomore	36
Senior	27
Junior	21
Junior	23
Freshman	23
Sophomore	28
Sophomore	21
Junior	21
Sophomore	26
Senior	27
Sophomore	21
Senior	27
Sophomore	25
Senior	25
Sophomore	26
Junior	29
Senior	25
Junior	21
Senior	25
Junior	21
Senior	29
Senior	24
Junior	25
Junior	21
Senior	21
Senior	36
Freshman	21
Senior	25
Freshman	23
Junior	22
Junior	27
Sophomore	23
Freshman	24
Freshman	20
Sophomore	30
Senior	27
Junior	21
Junior	31
Senior	28
Senior	32
Senior	33
Senior	23
Freshman	27
Junior	22
Freshman	24
Senior	28
Freshman	23
Senior	28
Freshman	30
Senior	29
Junior	25
Freshman	23
Freshman	23
Junior	27
Junior	25
Junior	21
Junior	27
Senior	23
Junior	31
Senior	23
Senior	26
Junior	28
Freshman	24
Junior	26
Junior	19
Freshman	29
Junior	23
Junior	25
Freshman	23
Sophomore	30
Junior	25
Sophomore	23
Junior	19
Senior	29
Senior	28
Junior	21
Sophomore	30
Junior	23
Junior	26
Junior	23
Freshman	25
Junior	24
Junior	24
Junior	24
Freshman	23
Freshman	29
Junior	28
Junior	20
Sophomore	25
Senior	34
Junior	29
Junior	25
Junior	28
Junior	21
Senior	21
Sophomore	21
Sophomore	23
Sophomore	32
Sophomore	21
Junior	22
Junior	24
Senior	27
Sophomore	21
Junior	22
Senior	27
Junior	22
Junior	30
Senior	31
Senior	23
Freshman	25
Junior	25
Junior	23
Junior	20
Junior	34
Junior	21
Junior	19
Junior	27
Sophomore	20
Junior	36
Junior	36
Senior	19
Sophomore	23
Junior	22
Junior	24
Sophomore	27
Freshman	29
Senior	19
Freshman	32
Junior	23
Senior	19
Senior	22
Senior	28
Junior	30
Senior	23
Senior	22
Junior	22
Junior	25
Junior	23
Freshman	23
Sophomore	20
Senior	26
Sophomore	22
Sophomore	23
Junior	24
Junior	22
Junior	27
Junior	25
Sophomore	33
Junior	26
Sophomore	28
Senior	22
Sophomore	30
Sophomore	31
Junior	29
Junior	25
Senior	19
Junior	18
Junior	20
Freshman	20
Junior	25
Junior	26
Senior	26
Junior	19
Freshman	22
Senior	24
Senior	23
Sophomore	22
Senior	22
Senior	19
Junior	29
Sophomore	25
Sophomore	22
Senior	23
Junior	21
Junior	21
Senior	18
Junior	23
Junior	26
Junior	29
Sophomore	24
Senior	21
Junior	24
Junior	22
Junior	26
Junior	25
Freshman	28
Sophomore	21
Sophomore	23
Freshman	25
Junior	23
Senior	20
Senior	30
Senior	34
Sophomore	29
Senior	32
Senior	24
Sophomore	20
Junior	24
Freshman	22
Senior	21
Junior	23
Sophomore	24
Freshman	24
Junior	22
Sophomore	25
Senior	26
Senior	26
Senior	23
Junior	20
Junior	18
Senior	24
Junior	25
Junior	21
Junior	20
Senior	22
Freshman	27
Sophomore	21
Senior	26
Freshman	20
Freshman	22
Junior	20
Junior	25
Sophomore	24
Senior	35
Junior	25
Senior	21
Junior	23
Sophomore	20
Sophomore	26
Junior	24
Sophomore	30
Sophomore	19
Senior	24
Junior	22
Senior	24
Senior	28
Senior	24
Senior	20
Senior	28
Freshman	21
Senior	30
Junior	23
Senior	20
Senior	23
Sophomore	24
Freshman	26
Junior	18
Junior	22
Junior	24
Junior	21
Junior	25
Senior	22
Senior	25
Sophomore	23
Junior	23
Senior	24
Freshman	20
Junior	25
Sophomore	21
Sophomore	26
Freshman	22
Senior	23
Sophomore	22
Senior	22
Junior	20
Junior	23
Freshman	30
Freshman	28
Junior	29
Sophomore	25
Freshman	25
Senior	24
Senior	19
Freshman	26
Senior	34
Senior	27
Junior	28
Sophomore	25
Senior	24
Sophomore	29
Senior	24
Junior	24
Senior	25
Sophomore	36
Junior	35
Junior	30
Senior	23
Senior	23
Freshman	24
Junior	22
Senior	19
Junior	22
Senior	23
Senior	19
Junior	19
Junior	22
Freshman	25
Sophomore	21
Junior	21
Junior	28
Senior	26
Junior	29
Senior	28
Senior	21
Junior	22
Junior	21
Junior	21
Senior	24
Junior	22
Freshman	22
Freshman	19
Junior	19
Senior	32
Junior	23
Junior	24
Junior	23
Junior	25
Senior	26
Sophomore	23
Junior	33
Freshman	21
Senior	25
Freshman	27
Freshman	24
Junior	34
Senior	24
Freshman	33
Sophomore	23
Junior	20
Senior	29
Freshman	27
Sophomore	36
Senior	26
Junior	29
Junior	20
Junior	22
Senior	35
Sophomore	26
Senior	25
Sophomore	19
Junior	22
Junior	22
Senior	21
Junior	21
Freshman	20
Junior	19
Junior	25
Senior	21
Sophomore	24
Sophomore	26
Junior	28
Sophomore	29
Freshman	23
Senior	25
Sophomore	23
Sophomore	29
Sophomore	20
Senior	22
Senior	21
Junior	20
Senior	20
Junior	23
Junior	22
Senior	31
Freshman	24
Senior	22
Sophomore	30
Junior	22
Freshman	31
Junior	23
Junior	20
Sophomore	24
Junior	24
Junior	23
Senior	23
Junior	21
Freshman	26
Junior	25
Senior	32
Junior	21
Senior	23
Sophomore	18
Junior	18
Senior	25
Junior	21
Junior	23
Junior	22
Sophomore	21
Junior	26
Junior	18
Senior	26
Junior	25
Junior	21
Sophomore	25
Junior	22
Junior	24
Senior	25
Senior	22
Junior	22
Junior	28
Junior	30
Junior	23
Senior	22
Junior	19
Senior	21
Freshman	27
Senior	23
Junior	20
Junior	22
Senior	20
Senior	31
Freshman	26
Junior	27
Junior	23
Junior	30
Freshman	24
Senior	26
Junior	29
Freshman	21
Senior	21
Sophomore	22
Junior	28
Senior	32
Junior	27
Sophomore	22
Sophomore	22
Junior	24
Junior	23
Junior	22
Junior	32
Sophomore	20
Sophomore	21
Senior	35
Sophomore	24
Sophomore	22
Junior	22
Sophomore	25
Senior	26
Junior	27
Junior	23
Sophomore	26
Junior	18
Sophomore	22
Junior	26
Senior	26
Sophomore	27
Freshman	21
Freshman	20
Junior	23
Freshman	29
Junior	24
Junior	35
Senior	25
Sophomore	34
Junior	22
Junior	18
Senior	19
Senior	31
Sophomore	22
Senior	27
Junior	20
Junior	25
Senior	23
Sophomore	22
Sophomore	18
Senior	21
Sophomore	29
Senior	29
Junior	21
Junior	33
Senior	24
Junior	20
Junior	19
Senior	33
Senior	28
Senior	24
Junior	23
Senior	26
Senior	30
Sophomore	23
Senior	31
Sophomore	27
Junior	24
Junior	30
Junior	29
Sophomore	30
Junior	25
Sophomore	29
Sophomore	36
Junior	29
Senior	23
Junior	30
Junior	25
Junior	23
Senior	23
Junior	21
Sophomore	27
Junior	24
Junior	25
Senior	31
Senior	23
Junior	35
Junior	26
Junior	24
Junior	26
Sophomore	23
Senior	24
Sophomore	27
Junior	26
Junior	26
Junior	22
Junior	21
Junior	22
Junior	24
Junior	24
Junior	25
Senior	26
Junior	25
Junior	25
Senior	25
Sophomore	28
Junior	23
Senior	23
Junior	31
Junior	27
Sophomore	30
Sophomore	23
Senior	21
Senior	29
Sophomore	35
Freshman	25
Junior	24
Sophomore	22
Sophomore	24
Freshman	21
Junior	20
Freshman	30
Sophomore	27
Junior	18
Junior	26
Sophomore	30
Senior	25
Junior	24
Junior	34
Senior	20
Sophomore	18
Freshman	19
Sophomore	24
Junior	32
Sophomore	21
Sophomore	32
Senior	30
Senior	25
Senior	35
Junior	24
Junior	28
Senior	28
Freshman	29
Senior	24
Junior	29
Senior	23
Sophomore	28
Junior	27
Senior	21
Junior	24
Junior	25
Junior	22
Senior	23
Senior	28
Senior	19
Senior	28
Junior	21
Senior	27
Senior	34
Junior	23
Junior	21
Junior	22
Freshman	27
Junior	28
Junior	23
Sophomore	29
